   4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 AA A2 A3 A4 A5 A6
4  H  H  H  H  H  H  H  H  H  H  H  Dh Dh H  H  H  H  H  H  H  H  H  H
5  H  H  H  H  H  H  H  H  H  H  Dh Dh Dh H  H  H  H  H  H  H  H  H  H
6  H  H  H  H  H  H  H  H  H  H  Dh Dh Dh H  H  H  H  H  H  H  H  H  H
7  H  H  H  H  H  H  H  H  H  Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
8  H  H  H  H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
9  Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
10 Dh Dh Dh Dh Dh Dh H  H  Dh Dh Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh H
11 Dh Dh Dh Dh Dh Dh H  H  Dh Dh Dh Dh Dh H  H  H  H  Dh Dh Dh Dh Dh H
12 H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H
13 H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  S  H
14 H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H
15 H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H
16 H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H  H
17 S  S  S  S  S  S  S  S  S  S  S  S  S  S  Rh Rh Rh S  S  S  S  S  S
18 S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  Rh Rh S  S  S  S  S  S
19 S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  Rh S  S  S  S  S  S
20 S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S
22 P  P  P  P  H  H  H  H  P  P  P  P  P  P  P  H  H  H  H  H  H  P  P
33 P  P  P  P  H  H  H  H  P  P  P  P  P  P  P  H  H  H  H  H  H  H  P
44 H  P  P  H  H  H  H  H  P  P  P  P  P  H  H  H  H  H  H  H  H  H  H
55 Dh Dh Dh Dh Dh Dh H  H  Dh Dh Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh H
66 P  P  P  H  H  H  H  H  P  P  P  P  P  P  H  H  H  H  H  H  H  P  P
77 P  P  P  P  H  H  H  H  P  P  P  P  P  P  H  H  H  H  H  P  P  P  P
88 P  P  P  P  P  P  H  H  P  P  P  P  P  P  P  Rh Rh P  P  P  P  P  P
99 S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  P  Rh S  S  S  S  S  S
TT S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S  S
AA P  P  P  P  P  P  P  P  P  P  P  P  P  H  H  H  H  P  P  P  P  P  H
A2 H  H  Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
A3 H  Dh Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
A4 H  Dh Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
A5 Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
A6 Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
A7 Ds Ds Ds S  S  S  S  S  Ds Ds Ds Ds Ds S  S  H  H  S  S  S  S  S  S
A8 S  S  S  S  S  S  S  S  Ds Ds Ds Ds Ds S  S  S  H  S  S  S  S  S  S
A9 S  S  S  S  S  S  S  S  S  Ds Ds Ds Ds S  S  S  S  S  S  S  S  S  S
