   4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 AA A2 A3 A4 A5 A6
4  H  H  H  Rh Rh Rh Rh Rh H  H  H  Dh Dh H  H  H  H  H  H  H  H  H  H
5  Dh H  H  Rh Rh Rh Rh Rh H  H  Dh Dh Dh H  H  H  H  H  H  H  H  H  H
6  Dh Dh H  H  Rh Rh Rh Rh H  H  Dh Dh Dh H  H  H  H  H  H  H  H  H  H
7  Dh Dh Dh H  H  Rh Rh Rh H  Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
8  Dh Dh Dh Dh H  H  Rh Rh Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
9  Dh Dh Dh Dh Dh H  H  Rh Dh Dh Dh Dh Dh H  H  H  H  H  H  H  H  H  H
10 Dh Dh Dh Dh Dh Dh H  H  Dh Dh Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh H
11 Dh Dh Dh Dh Dh Dh Dh H  Dh Dh Dh Dh Dh H  H  H  H  Dh Dh Dh Dh Dh H
12 S  S  S  Rh Rh Rh Rh Rh S  S  S  S  S  Rh Rh Rh Rh S  S  S  S  S  Rh
13 S  S  S  Rh Rh Rh Rh Rh S  S  S  S  S  Rh Rh Rh Rh S  S  S  S  S  Rh
14 S  S  S  Rh Rh Rh Rh Rh S  S  S  S  S  Rh Rh Rh Rh S  S  S  S  S  Rh
15 S  S  S  Rh Rh Rh Rh Rh S  S  S  S  S  Rh Rh Rh Rh S  S  S  S  S  Rh
16 S  S  S  Rh Rh Rh Rh Rs S  S  S  S  S  Rh Rh Rh Rh S  S  S  S  S  Rh
17 S  S  S  S  S  S  Rs Rs S  S  S  S  S  S  Rh Rh Rh S  S  S  S  S  S
18 S  S  S  S  S  S  Rs Rs S  S  S  S  S  S  S  Rh Rh S  S  S  S  S  S
19 S  S  S  S  S  S  Rs Rs S  S  S  S  S  S  S  S  Rh S  S  S  S  S  S
20 S  S  S  S  S  S  S  Rs S  S  S  S  S  S  S  S  S  S  S  S  S  S  S
22 P  P  P  Rp Rh Rh Rh Rh P  P  P  P  P  Rp Rp Rh Rh H  H  H  H  P  Rp
33 P  P  P  Rp Rh Rh Rh Rh P  P  P  P  P  Rp Rp Rh Rh H  H  H  H  H  Rp
44 H  P  P  Rh H  Rh Rh Rh P  P  P  P  P  H  H  Rh Rh H  H  H  H  H  H
55 Dh Dh Dh Dh Dh Dh H  H  Dh Dh Dh Dh Dh H  H  H  H  H  Dh Dh Dh Dh H
66 P  P  P  Rh Rh Rh Rh Rh P  P  P  P  P  Rp Rh Rh Rh H  H  H  H  P  Rp
77 P  P  P  P  Rh Rh Rh Rh P  P  P  P  P  P  Rh Rh Rh H  H  P  P  P  P
88 P  P  P  P  P  Rp Rh Rs P  P  P  P  P  P  P  Rh Rh P  P  P  P  P  P
99 P  P  P  S  P  P  Rs Rs P  P  P  P  P  S  P  P  Rh S  S  S  P  P  S
TT S  S  S  S  S  S  S  S  S  P  P  P  P  S  S  S  S  S  S  S  S  S  S
AA P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P  P
A2 H  H  Dh Rh Rh Rh Rh Rh Dh Dh Dh Dh Dh Rh Rh Rh Rh H  H  H  H  H  H
A3 H  Dh Dh Rh Rh Rh Rh Rh Dh Dh Dh Dh Dh Rh Rh Rh Rh H  H  H  H  H  H
A4 H  Dh Dh Rh Rh Rh Rh Rh Dh Dh Dh Dh Dh Rh Rh Rh Rh H  H  H  H  H  H
A5 Dh Dh Dh H  Rh Rh Rh Rh Dh Dh Dh Dh Dh Rh Rh Rh Rh H  H  H  H  H  H
A6 Dh Dh Dh H  H  Rh Rh Rh Dh Dh Dh Dh Dh H  Rh Rh Rh H  H  H  H  H  H
A7 Ds Ds Ds S  S  H  Rh Rs Ds Ds Ds Ds Ds S  H  Rh Rh S  S  S  S  S  S
A8 S  S  S  S  S  S  S  Rs Ds Ds Ds Ds Ds S  S  S  Rh S  S  S  S  S  S
A9 S  S  S  S  S  S  S  S  S  Ds Ds Ds Ds S  S  S  S  S  S  S  S  S  S
